Year,Ukraine,USA
1991,52000500,252981000
1992,52150400,256514000
1993,52179200,259919000
1994,51921400,263126000
1995,51512800,266278000
1996,51057800,269394000
1997 50597600,272657000
1998,50144500,275854000
1999,49674000,279040000
2000,49176500,282162411
2001,48662400,284968955
2002,48202470,287625193
2003,47812949,290107933
2004,47451626,292805298
2005,47105171,295516599
2006,46787786,298379912
2007,46509355 301231207
2008,46258189,304093966
2009,46053331,306771529
2010,45870741,309327143
2011,45706086,311583481
2012,45593342,313877662
2013,45489648,316059947
2014,45272155,318386329
2015,45167350,320738994
2016,45038236,323071755
2017,44880758,325122128
2018, 44690584,326838199
2019,44474512,328329953,



